"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16000","_09_DeleteTheMaterial","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:40 UTC 2025","","Syteline","Syteline",""
"","57000","_01_ImportSettings","","Tue Apr 01 11:27:21 UTC 2025","passed","Tue Apr 01 11:28:18 UTC 2025","","WindchillTestPlan","WindchillTestPlan",""
"","11000","_11_DeleteStructureUnderRevision","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:10 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","19000","_04_CreateNewItem","","Fri Apr 04 08:48:49 UTC 2025","failed","Fri Apr 04 08:49:08 UTC 2025","","Arena Test Plan","Arena Test Plan",""
"","15000","_13_InsertOperationIntoOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:39 UTC 2025","","Syteline","Syteline",""
"","16000","_12_AddMaterialBySearch","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:15 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","44000","_19_ExportSettings","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:47:08 UTC 2025","","Syteline","Syteline",""
"","22000","_06_AddBOMItem","","Fri Apr 04 08:48:49 UTC 2025","failed","Fri Apr 04 08:49:11 UTC 2025","","Arena Test Plan","Arena Test Plan",""
"","23000","_07_InsertMaterialIntoTheOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:47 UTC 2025","","Syteline","Syteline",""
"","13000","_05_UpdateEnggPart","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:12 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","18000","_05_AddNewOperation","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:42 UTC 2025","","Syteline","Syteline",""
"","18000","_17_InsertMaterialFromSearchIntoMaterial","","Thu Feb 13 13:46:24 UTC 2025","passed","Thu Feb 13 13:46:42 UTC 2025","","Syteline","Syteline",""
"","27000","_04_UpdateEnggPart","","Wed Mar 26 06:46:06 UTC 2025","passed","Wed Mar 26 06:46:33 UTC 2025","","IFSCloudEngPart","IFSCloudEngPart",""
"","31000","_06_LoadRevInCorrectOrder","","Wed Mar 26 06:46:06 UTC 2025","passed","Wed Mar 26 06:46:37 UTC 2025","","IFSCloudEngPart","IFSCloudEngPart",""
"","30000","_02_Login","","Tue Apr 01 11:27:21 UTC 2025","passed","Tue Apr 01 11:27:51 UTC 2025","","WindchillTestPlan","WindchillTestPlan",""
"","16000","_09_AddBlankCompUnderRevision","","Fri Apr 04 10:38:59 UTC 2025","passed","Fri Apr 04 10:39:15 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
"","87000","_15_DeleteMaterial02And001","","Fri Apr 04 10:38:59 UTC 2025","failed","Fri Apr 04 10:40:26 UTC 2025","","IFS_Apps10_EngPart","IFS_Apps10_EngPart",""
